cohort,outcome,comparison,delta_spearman,spearman_2_5,spearman_97_5,P_delta_spearman_gt0,delta_pearson,pearson_2_5,pearson_97_5,P_delta_pearson_gt0,classification
T2024,Y30_NET_XG,B6_vs_B2_XR,-0.4024328767695387,-0.6942659647161155,-0.13265430937147177,0.0018,-0.4249565289767206,-0.6760084964721701,-0.19726106881120745,0.0001,BASELINE_CLEARLY_BETTER
T2024,Y30_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.16723234535132592,0.0240959322617785,0.3192259304111399,0.9879,0.2120586082025221,0.07673550158182361,0.3549458297072277,0.9997,FULL_CLEARLY_BETTER
T2024,Y30_NET_XG,B6_vs_B4_FIXED_FAILURE,-0.0007489053031589566,-0.025201666671613276,0.02088630371676498,0.4508,-0.006908814455754922,-0.013927735972377397,-0.0008749733237835882,0.0111,NO_CLEAR_DIFFERENCE
T2024,Y30_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.01201091240131396,-0.00018812949898120703,0.03817583450869766,0.9122,-0.010184153433539329,-0.020631948739010947,-0.0004790701424545214,0.02,NO_CLEAR_DIFFERENCE
T2024,Y30_NET_XG,B6_vs_B0,-0.7901953735306977,-1.1530885671305002,-0.3819593267972976,0.0005,-0.8505030224354352,-1.1583163101747433,-0.47970954506185615,0.0002,BASELINE_CLEARLY_BETTER
T2024,Y30_NET_XG,B6_vs_B1,-0.7667489097948123,-1.1382977040054647,-0.36455990581794107,0.0004,-0.8485571932857742,-1.158940272533285,-0.47655559789804586,0.0002,BASELINE_CLEARLY_BETTER
T2024,YCYCLE_NET_XG,B6_vs_B2_XR,-0.39837206458248603,-0.6970849826301858,-0.10678737799431363,0.0032,-0.42336973449773724,-0.662149646206027,-0.18563146477484924,0.0003,BASELINE_CLEARLY_BETTER
T2024,YCYCLE_NET_XG,B6_vs_B3_SUCCESS_ONLY,0.17592365461952725,0.005821887524886099,0.3570186786157005,0.9787,0.22407295745404648,0.08194266505152274,0.38340216864324694,0.9992,FULL_CLEARLY_BETTER
T2024,YCYCLE_NET_XG,B6_vs_B4_FIXED_FAILURE,0.0010344662454119604,-0.011473821856783575,0.02032367331576966,0.4031,-0.003933028578483952,-0.010809968315080019,0.0021546018837243224,0.109,NO_CLEAR_DIFFERENCE
T2024,YCYCLE_NET_XG,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.00397059199582263,-0.008663113861796459,0.02501687019318756,0.6167,-0.012915145891739366,-0.023098041421402624,-0.003808449654706098,0.002,NO_CLEAR_DIFFERENCE
T2024,YCYCLE_NET_XG,B6_vs_B0,-0.7323785983182737,-1.091292368814145,-0.3411633370190182,0.0002,-0.812052034352722,-1.1255996370061792,-0.42378444771199475,0.0,BASELINE_CLEARLY_BETTER
T2024,YCYCLE_NET_XG,B6_vs_B1,-0.721332236685936,-1.0802843648215865,-0.3346127341548253,0.0002,-0.8215495769273741,-1.1446521703659311,-0.4278871539120817,0.0,BASELINE_CLEARLY_BETTER
T2024,YNEXTSHOT,B6_vs_B2_XR,-0.4390583945483952,-0.7079038421596602,-0.2113959140178916,0.0001,-0.4355760187461005,-0.6646607516326131,-0.23886652751945908,0.0,BASELINE_CLEARLY_BETTER
T2024,YNEXTSHOT,B6_vs_B3_SUCCESS_ONLY,0.14576828055772303,-0.029551106261411036,0.33894492426877626,0.9461,0.19001098825118684,0.036259971272998175,0.35365746876999216,0.9937,NO_CLEAR_DIFFERENCE
T2024,YNEXTSHOT,B6_vs_B4_FIXED_FAILURE,0.002184646040737581,-0.014305916017009219,0.021996719311675916,0.5535,-0.0024585402665819015,-0.010187856475811753,0.003795148963659739,0.2485,NO_CLEAR_DIFFERENCE
T2024,YNEXTSHOT,B6_vs_B5_COARSE_ORIGIN_FAILURE,0.00867499018209814,-0.0009416240197596543,0.033876373197512966,0.8717,-0.012567035574668171,-0.023325914186770436,-0.0033438742887716673,0.0033,NO_CLEAR_DIFFERENCE
T2024,YNEXTSHOT,B6_vs_B0,-0.7686805619940531,-1.1181241196365808,-0.39187470712050554,0.0,-0.7912840114607191,-1.1061676215074903,-0.44252601635369715,0.0,BASELINE_CLEARLY_BETTER
T2024,YNEXTSHOT,B6_vs_B1,-0.7521611829959657,-1.1036780502403625,-0.3737051655601912,0.0,-0.7913929872176397,-1.1055059219546537,-0.44322641541674695,0.0,BASELINE_CLEARLY_BETTER
WC2018,Y10_NET_XG,B6_vs_B2_XR,0.007566042105647986,-0.1540467049421724,0.18215355191460356,0.5265,0.042787044472965094,-0.10804907656434086,0.19097881371794997,0.7172,NO_CLEAR_DIFFERENCE
