cohort,keeper,team,goal_kick,pressure,choice_bin,choice_length_source,choice_observable_n,all_action_n,coverage,frequency,retention,xR,value
PL1516,Ben Foster,West Bromwich Albion,False,PRESSURED,VERY_LONG,provider_target_geometry,10,12,0.8333333333333334,0.1,0.0,0.5269461077844312,-0.006647166804136965
PL1516,Ben Foster,West Bromwich Albion,True,FREE,LONG,provider_target_geometry,120,141,0.851063829787234,0.4666666666666667,0.6785714285714286,0.6286534509230556,-0.0034252900454813558
PL1516,Ben Foster,West Bromwich Albion,True,FREE,MEDIUM,provider_target_geometry,120,141,0.851063829787234,0.016666666666666666,1.0,0.6108371977328856,-0.0034642233196751034
PL1516,Ben Foster,West Bromwich Albion,True,FREE,VERY_LONG,provider_target_geometry,120,141,0.851063829787234,0.5166666666666667,0.6451612903225806,0.6225790678051937,-0.0035650279120577754
PL1516,Bradley Guzan,Aston Villa,False,FREE,LONG,provider_target_geometry,486,561,0.8663101604278075,0.4794238683127572,0.5836909871244635,0.6896476660904727,-0.004607476900591159
PL1516,Bradley Guzan,Aston Villa,False,FREE,MEDIUM,provider_target_geometry,486,561,0.8663101604278075,0.15432098765432098,0.9866666666666667,0.8342622499084058,-0.0019412379370877765
PL1516,Bradley Guzan,Aston Villa,False,FREE,SHORT,provider_target_geometry,486,561,0.8663101604278075,0.2736625514403292,0.9924812030075187,0.833886134966286,-0.0025841959450730134
PL1516,Bradley Guzan,Aston Villa,False,FREE,VERY_LONG,provider_target_geometry,486,561,0.8663101604278075,0.09259259259259259,0.5111111111111111,0.6265661555174706,-0.005402839371108795
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,LONG,provider_target_geometry,41,49,0.8367346938775511,0.7073170731707317,0.4827586206896552,0.5229503083796676,-0.009335861377806343
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,MEDIUM,provider_target_geometry,41,49,0.8367346938775511,0.17073170731707318,0.8571428571428571,0.5239703297225942,-0.008615195446188427
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,SHORT,provider_target_geometry,41,49,0.8367346938775511,0.0975609756097561,1.0,0.5312735081328219,-0.004497092840269018
PL1516,Bradley Guzan,Aston Villa,False,PRESSURED,VERY_LONG,provider_target_geometry,41,49,0.8367346938775511,0.024390243902439025,0.0,0.5128205128205128,-0.006473815801619713
