cohort,keeper,team,goal_kick,pressure_state,realized_bin,n,retention,xR,value
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,MEDIUM,10,0.7,0.4799143587050425,-0.006668770445208664
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,SHORT,12,0.9166666666666666,0.5039135004228622,-0.0071276843721673035
PL1516,David de Gea Quintana,Manchester United,False,PRESSURED,VERY_LONG,7,0.2857142857142857,0.4168584003712331,-0.011165022176881947
PL1516,David de Gea Quintana,Manchester United,True,FREE,LONG,160,0.6625,0.5822649826474159,-0.0046810975261645064
PL1516,David de Gea Quintana,Manchester United,True,FREE,MEDIUM,27,0.9629629629629629,0.5883873426382854,-0.004437342330142267
PL1516,David de Gea Quintana,Manchester United,True,FREE,SHORT,42,1.0,0.5910997583379904,-0.004571443381351965
PL1516,David de Gea Quintana,Manchester United,True,FREE,VERY_LONG,57,0.5614035087719298,0.5850907445080261,-0.00460060215936158
PL1516,Declan Rudd,Norwich City,False,FREE,LONG,108,0.4166666666666667,0.6407511872520288,-0.005534638575394441
PL1516,Declan Rudd,Norwich City,False,FREE,MEDIUM,28,0.75,0.8069620567827659,-0.003236247091905171
PL1516,Declan Rudd,Norwich City,False,FREE,SHORT,44,0.9772727272727273,0.840792763498068,-0.002556191228076242
PL1516,Declan Rudd,Norwich City,False,FREE,VERY_LONG,38,0.3157894736842105,0.6358452458090407,-0.005638389137568034
PL1516,Declan Rudd,Norwich City,False,PRESSURED,LONG,11,0.5454545454545454,0.4935724826229254,-0.005801243817876938
PL1516,Declan Rudd,Norwich City,False,PRESSURED,MEDIUM,2,0.5,0.5258187329045614,-0.006813411829294985
PL1516,Declan Rudd,Norwich City,False,PRESSURED,SHORT,2,1.0,0.4957962862154479,-0.013720748825709677
PL1516,Declan Rudd,Norwich City,True,FREE,LONG,34,0.6176470588235294,0.6178191010904687,-0.0031935170878257834
PL1516,Declan Rudd,Norwich City,True,FREE,MEDIUM,7,0.7142857142857143,0.643515651722617,-0.0022668106738091046
PL1516,Declan Rudd,Norwich City,True,FREE,SHORT,5,0.8,0.6483517131516106,-0.0032917113287043
PL1516,Declan Rudd,Norwich City,True,FREE,VERY_LONG,49,0.3877551020408163,0.6033717159740902,-0.0036834137548232377
PL1516,Fraser Forster,Southampton,False,FREE,LONG,143,0.6153846153846154,0.6143757911020947,-0.0064269530270837935
PL1516,Fraser Forster,Southampton,False,FREE,MEDIUM,31,0.8387096774193549,0.6918988334510817,-0.005206758738302575
PL1516,Fraser Forster,Southampton,False,FREE,SHORT,55,0.9636363636363636,0.7462423645794971,-0.0040004498781237
PL1516,Fraser Forster,Southampton,False,FREE,VERY_LONG,83,0.40963855421686746,0.5866975748443485,-0.006727681028307192
PL1516,Fraser Forster,Southampton,False,PRESSURED,LONG,15,0.4,0.5023590993727036,-0.010259570802309718
PL1516,Fraser Forster,Southampton,False,PRESSURED,MEDIUM,4,0.5,0.48064600872317065,-0.0061921110728423955
PL1516,Fraser Forster,Southampton,False,PRESSURED,SHORT,3,1.0,0.47387664756148595,-0.007628035415553305
PL1516,Fraser Forster,Southampton,False,PRESSURED,VERY_LONG,6,0.6666666666666666,0.5006187728235197,-0.007999851373068186
PL1516,Fraser Forster,Southampton,True,FREE,LONG,56,0.6428571428571429,0.5862232504152435,-0.004358802677685308
