cohort,keeper,team,sample_n,matches,choice_observable_n,choice_coverage,short_share,medium_share,long_share,very_long_share,direct_share,mean_xR,raw_retention,context_influenced_retention_over_expected,pressured_n,pressured_retention,pressured_xR,pressured_retention_over_expected,free_n,free_retention,free_xR,free_retention_over_expected,pressured_choice_n,pressured_choice_coverage,free_choice_n,free_choice_coverage,pressure_shift_direct_choice,target_identifiable_n,target_coverage,left_target_share,central_target_share,right_target_share,goal_kick_n,goal_kick_direct_share,goal_kick_retention,goal_kick_xR,left_foot_share,right_foot_share,known_foot_coverage,left_minus_right_share_pp,fit_flag,choice_coverage_within_cohort_percentile,short_share_within_cohort_percentile,medium_share_within_cohort_percentile,long_share_within_cohort_percentile,very_long_share_within_cohort_percentile,direct_share_within_cohort_percentile,mean_xR_within_cohort_percentile,raw_retention_within_cohort_percentile,context_influenced_retention_over_expected_within_cohort_percentile,pressured_n_within_cohort_percentile,pressured_retention_within_cohort_percentile,pressured_xR_within_cohort_percentile,pressured_retention_over_expected_within_cohort_percentile,free_n_within_cohort_percentile,free_retention_within_cohort_percentile,free_xR_within_cohort_percentile,free_retention_over_expected_within_cohort_percentile,pressured_choice_n_within_cohort_percentile,pressured_choice_coverage_within_cohort_percentile,free_choice_n_within_cohort_percentile,free_choice_coverage_within_cohort_percentile,pressure_shift_direct_choice_within_cohort_percentile,target_coverage_within_cohort_percentile,left_target_share_within_cohort_percentile,central_target_share_within_cohort_percentile,right_target_share_within_cohort_percentile,goal_kick_direct_share_within_cohort_percentile,goal_kick_retention_within_cohort_percentile,goal_kick_xR_within_cohort_percentile,left_foot_share_within_cohort_percentile,right_foot_share_within_cohort_percentile,known_foot_coverage_within_cohort_percentile,left_minus_right_share_pp_within_cohort_percentile
T2024,Damián Emiliano Martínez,Argentina,217,6,203,0.9354838709677419,69.45812807881774,9.35960591133005,6.403940886699508,14.77832512315271,21.182266009852217,0.7620472103438017,0.8433179723502304,0.08127076200642865,27,0.8148148148148148,0.64462685466329,0.1701879601515247,190,0.8473684210526315,0.7787332608878746,0.06863516016475708,25,0.9259259259259259,178,0.9368421052631579,-5.910112359550563,203,0.9354838709677419,36.94581280788177,31.03448275862069,32.01970443349754,34,43.75,0.7352941176470589,0.6955382930760601,18.433179723502306,60.82949308755761,79.26267281105991,-42.3963133640553,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,57.49999999999999,95.0,15.0,7.5,72.5,17.5,42.5,75.0,82.5,87.5,92.5,55.00000000000001,92.5,93.75,70.0,45.0,75.0,87.5,57.49999999999999,92.5,52.5,10.0,57.49999999999999,70.0,62.5,32.5,52.5,57.49999999999999,40.0,80.0,25.0,22.5,80.0
T2024,Diogo Meireles Costa,Portugal,153,5,150,0.9803921568627451,66.66666666666666,24.666666666666668,5.333333333333334,3.3333333333333335,8.666666666666668,0.7928188398368732,0.9084967320261438,0.11567789218927065,20,0.75,0.6335821576597064,0.11641784234029366,133,0.9323308270676691,0.8167642055778005,0.11556662148986871,18,0.9,132,0.9924812030075187,21.717171717171716,150,0.9803921568627451,36.0,28.666666666666668,35.333333333333336,30,3.4482758620689653,0.9333333333333333,0.6951512620832112,15.032679738562091,66.01307189542483,81.04575163398692,-50.980392156862735,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,95.0,92.5,95.0,5.0,15.0,2.5,95.0,97.5,95.0,65.0,85.0,37.5,85.0,78.75,100.0,92.5,95.0,70.0,50.0,87.5,100.0,55.00000000000001,95.0,60.0,35.0,50.0,2.5,97.5,37.5,70.0,35.0,42.5,70.0
T2024,Dominik Livaković,Croatia,89,3,77,0.8651685393258427,63.63636363636363,10.38961038961039,18.181818181818183,7.792207792207792,25.97402597402597,0.7867345530677083,0.7865168539325843,-0.00021769913512419465,16,0.5,0.655385040662006,-0.15538504066200598,73,0.8493150684931506,0.8155234872936158,0.03379158119953484,12,0.75,65,0.8904109589041096,38.333333333333336,77,0.8651685393258427,14.285714285714285,49.35064935064935,36.36363636363637,15,23.076923076923077,0.8666666666666667,0.7184230624674972,6.741573033707865,73.03370786516854,79.7752808988764,-66.29213483146067,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,20.0,82.5,22.5,42.5,37.5,45.0,90.0,57.49999999999999,57.49999999999999,57.49999999999999,28.749999999999996,70.0,25.0,20.0,72.5,90.0,65.0,50.0,22.5,20.0,27.500000000000004,87.5,20.0,2.5,100.0,58.75,15.0,83.75,75.0,27.500000000000004,52.5,27.500000000000004,45.0
T2024,Fehmi Mert Günok,Turkey,127,4,124,0.9763779527559056,34.67741935483871,18.548387096774192,25.0,21.774193548387096,46.774193548387096,0.755930552882742,0.6771653543307087,-0.07876519855203318,21,0.5714285714285714,0.6416087646543249,-0.07018019322575356,106,0.6981132075471698,0.7785792090412019,-0.08046600149403199,21,1.0,103,0.9716981132075472,29.680998613037453,124,0.9763779527559056,37.096774193548384,25.0,37.903225806451616,30,56.666666666666664,0.6333333333333333,0.6831192746061824,3.937007874015748,80.31496062992126,84.25196850393701,-76.37795275590551,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,92.5,15.0,80.0,67.5,92.5,77.5,22.5,20.0,20.0,70.0,46.25,50.0,45.0,52.5,22.5,42.5,17.5,78.75,88.75,57.49999999999999,82.5,75.0,92.5,75.0,17.5,67.5,75.0,20.0,15.0,10.0,82.5,55.00000000000001,12.5
T2024,Florin Constantin Niţă,Romania,146,4,128,0.8767123287671232,31.25,10.9375,50.78125,7.03125,57.8125,0.7168443362262523,0.6438356164383562,-0.07300871978789626,11,0.5454545454545454,0.6250018520049484,-0.07954730655040289,135,0.6518518518518519,0.7243277979035438,-0.07247594605169201,8,0.7272727272727273,120,0.8888888888888888,5.000000000000007,128,0.8767123287671232,50.78125,13.28125,35.9375,46,73.68421052631578,0.5434782608695652,0.698645721056695,6.164383561643835,73.97260273972603,80.13698630136986,-67.8082191780822,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,25.0,10.0,27.500000000000004,100.0,32.5,92.5,5.0,15.0,22.5,36.25,37.5,20.0,42.5,83.75,12.5,5.0,20.0,30.0,20.0,75.0,25.0,27.500000000000004,25.0,100.0,2.5,55.00000000000001,95.0,7.5,45.0,25.0,55.00000000000001,32.5,40.0
T2024,Gianluigi Donnarumma,Italy,100,4,99,0.99,64.64646464646465,14.14141414141414,19.19191919191919,2.0202020202020203,21.21212121212121,0.7814816936977225,0.86,0.0785183063022774,16,0.75,0.6806800363284835,0.06931996367151652,84,0.8809523809523809,0.8006820093871014,0.08027037156527947,16,1.0,83,0.9880952380952381,19.427710843373493,99,0.99,32.323232323232325,36.36363636363637,31.313131313131315,16,18.75,0.875,0.7149453290038853,11.0,74.0,85.0,-63.0,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,100.0,85.0,47.5,47.5,10.0,20.0,80.0,85.0,80.0,57.49999999999999,85.0,95.0,75.0,32.5,82.5,75.0,80.0,63.74999999999999,88.75,38.75,97.5,50.0,100.0,37.5,80.0,27.500000000000004,12.5,87.5,70.0,52.5,57.49999999999999,62.5,55.00000000000001
T2024,Giorgi Mamardashvili,Georgia,122,4,102,0.8360655737704918,41.17647058823529,7.8431372549019605,33.33333333333333,17.647058823529413,50.98039215686274,0.7618933453447527,0.5737704918032787,-0.188122853541474,6,0.5,0.6476278118609406,-0.14762781186094068,116,0.5775862068965517,0.7678036315594327,-0.19021742466288089,5,0.8333333333333334,97,0.8362068965517241,-11.546391752577314,102,0.8360655737704918,36.27450980392157,18.627450980392158,45.09803921568628,44,61.111111111111114,0.5,0.6907789860207924,63.114754098360656,17.21311475409836,80.32786885245902,45.90163934426229,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,12.5,30.0,10.0,83.75,77.5,80.0,40.0,5.0,5.0,8.75,28.749999999999996,57.49999999999999,27.500000000000004,63.74999999999999,5.0,20.0,2.5,11.25,40.0,51.24999999999999,7.5,5.0,12.5,62.5,7.5,95.0,78.75,3.75,30.0,92.5,10.0,35.0,92.5
T2024,Guillermo Viscarra Bruckner,Bolivia,76,3,72,0.9473684210526315,34.72222222222222,9.722222222222223,33.33333333333333,22.22222222222222,55.55555555555556,0.7815340060111279,0.6052631578947368,-0.1762708481163909,7,0.42857142857142855,0.6390781865761953,-0.21050675800476684,69,0.6231884057971014,0.7959860456639468,-0.1727976398668455,5,0.7142857142857143,67,0.9710144927536232,26.268656716417908,72,0.9473684210526315,26.38888888888889,34.72222222222222,38.88888888888889,27,53.84615384615385,0.6666666666666666,0.7616019918518816,7.894736842105263,78.94736842105263,86.8421052631579,-71.05263157894737,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,68.75,17.5,17.5,83.75,95.0,88.75,82.5,7.5,7.5,16.25,15.0,45.0,15.0,12.5,10.0,72.5,7.5,11.25,15.0,22.5,80.0,62.5,68.75,10.0,70.0,80.0,65.0,33.75,100.0,42.5,77.5,80.0,30.0
T2024,Jahmali Waite,Jamaica,111,3,97,0.8738738738738738,58.76288659793815,15.463917525773196,18.556701030927837,7.216494845360824,25.773195876288657,0.7603342598236932,0.7477477477477478,-0.012586512075945543,22,0.5909090909090909,0.6277811358506614,-0.036872044941570516,89,0.7865168539325843,0.793100200581072,-0.00658334664848769,17,0.7727272727272727,80,0.898876404494382,32.94117647058824,97,0.8738738738738738,37.11340206185567,31.958762886597935,30.927835051546392,31,38.46153846153847,0.6774193548387096,0.6888825774177189,19.81981981981982,54.95495495495496,74.77477477477478,-35.13513513513514,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,22.5,70.0,55.00000000000001,45.0,35.0,42.5,35.0,47.5,50.0,77.5,52.5,22.5,55.00000000000001,37.5,50.0,65.0,45.0,67.5,25.0,35.0,30.0,80.0,22.5,77.5,65.0,22.5,32.5,40.0,25.0,82.5,20.0,5.0,82.5
T2024,Jan Oblak,Slovenia,128,4,117,0.9140625,24.786324786324787,19.65811965811966,41.88034188034188,13.675213675213676,55.55555555555556,0.7309981057811208,0.6953125,-0.03568560578112075,12,0.6666666666666666,0.6335155722868717,0.033151094379794986,116,0.6982758620689655,0.7410825057977672,-0.04280664372880167,12,1.0,105,0.9051724137931034,3.095238095238095,117,0.9140625,37.60683760683761,25.64102564102564,36.75213675213676,44,55.00000000000001,0.6363636363636364,0.6792440811618906,7.8125,80.46875,88.28125,-72.65625,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,35.0,7.5,85.0,92.5,62.5,88.75,10.0,30.0,42.5,41.25,67.5,35.0,65.0,63.74999999999999,25.0,10.0,35.0,50.0,88.75,60.0,32.5,25.0,35.0,80.0,20.0,62.5,72.5,22.5,10.0,40.0,85.0,87.5,22.5
T2024,Jindřich Staněk,Czech Republic,74,3,71,0.9594594594594594,32.3943661971831,15.492957746478872,38.028169014084504,14.084507042253522,52.112676056338024,0.7736977495321734,0.6891891891891891,-0.08450856034298412,9,0.4444444444444444,0.7063589434079843,-0.26191449896353997,65,0.7230769230769231,0.7830215842262918,-0.05994466114936872,9,1.0,62,0.9538461538461539,16.666666666666657,71,0.9594594594594594,32.3943661971831,29.577464788732392,38.028169014084504,24,69.56521739130434,0.7083333333333334,0.7346696343080389,5.405405405405405,81.08108108108108,86.48648648648648,-75.67567567567568,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,72.5,12.5,57.49999999999999,87.5,65.0,85.0,65.0,27.500000000000004,17.5,27.500000000000004,17.5,97.5,10.0,10.0,30.0,55.00000000000001,22.5,36.25,88.75,16.25,65.0,45.0,72.5,40.0,50.0,70.0,90.0,45.0,95.0,20.0,90.0,75.0,15.0
T2024,Jordan Pickford,England,304,7,283,0.930921052631579,49.46996466431096,15.19434628975265,24.381625441696116,10.954063604240282,35.3356890459364,0.7778496498486743,0.7631578947368421,-0.01469175511183229,51,0.6078431372549019,0.6507006040860449,-0.04285746683114302,253,0.7944664031620553,0.8034804851605089,-0.009014081998453452,50,0.9803921568627451,233,0.9209486166007905,25.098712446351936,283,0.930921052631579,26.501766784452297,29.328621908127207,44.16961130742049,50,62.7906976744186,0.72,0.7015450016056509,72.03947368421053,13.486842105263158,85.52631578947368,58.55263157894738,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,50.0,42.5,52.5,62.5,55.00000000000001,60.0,72.5,55.00000000000001,47.5,100.0,57.49999999999999,65.0,52.5,100.0,52.5,77.5,42.5,100.0,75.0,100.0,40.0,60.0,50.0,12.5,45.0,92.5,82.5,55.00000000000001,50.0,97.5,5.0,67.5,100.0
T2024,Julio José González Vela-Alvizu,Mexico,104,3,100,0.9615384615384616,74.0,10.0,11.0,5.0,16.0,0.7719535414587235,0.875,0.10304645854127632,9,0.6666666666666666,0.5827949047082925,0.08387176195837424,95,0.8947368421052632,0.7898738333613959,0.10486300874386707,7,0.7777777777777778,93,0.9789473684210527,-1.8433179723502313,100,0.9615384615384616,25.0,28.999999999999996,46.0,17,26.666666666666668,0.8823529411764706,0.7099458201566943,54.807692307692314,36.53846153846153,91.34615384615384,18.26923076923078,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,75.0,100.0,20.0,15.0,17.5,10.0,62.5,92.5,90.0,27.500000000000004,67.5,2.5,82.5,45.0,92.5,60.0,90.0,22.5,28.749999999999996,46.25,90.0,20.0,75.0,7.5,42.5,97.5,18.75,90.0,60.0,85.0,17.5,100.0,85.0
T2024,Kasper Schmeichel,Denmark,112,4,104,0.9285714285714286,50.96153846153846,24.03846153846154,14.423076923076922,10.576923076923077,25.0,0.7391047051056959,0.8303571428571429,0.09125243775144683,12,0.6666666666666666,0.6170564160332348,0.049610250633432,100,0.85,0.7537504997943911,0.09624950020560862,11,0.9166666666666666,93,0.93,2.5415444770283457,104,0.9285714285714286,34.61538461538461,29.807692307692307,35.57692307692308,23,47.61904761904761,0.8260869565217391,0.6666564048900793,7.142857142857142,74.10714285714286,81.25,-66.96428571428572,USE_ACCEPTED_R32A_CALIBRATION_RANK_SENSITIVITY,47.5,45.0,92.5,22.5,52.5,32.5,12.5,72.5,87.5,41.25,67.5,10.0,72.5,47.5,75.0,15.0,85.0,42.5,55.00000000000001,46.25,45.0,22.5,47.5,45.0,55.00000000000001,52.5,57.49999999999999,77.5,5.0,33.75,60.0,45.0,42.5
